GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot,com.example.springboot.dao,CdrEntity,230,45,54,0,0,7,31,13,4,13
spring-boot,com.example.springboot.validator,TimeRangeValidator,1,22,2,4,0,4,2,3,0,2
spring-boot,com.example.springboot.validator,ValidationService,0,56,2,4,0,8,2,3,0,2
spring-boot,com.example.springboot.controller,StatusController,2,3,0,0,1,1,1,1,1,1
spring-boot,com.example.springboot.controller,CdrController,7,16,0,0,1,3,1,3,1,3
spring-boot,com.example.springboot.error.exception,TimeOverlapException,0,11,0,0,0,2,0,2,0,2
spring-boot,com.example.springboot.error.exception,CdrNotFoundException,5,6,0,0,0,2,1,1,1,1
spring-boot,com.example.springboot.dto,CdrDto,230,45,54,0,0,7,31,13,4,13
spring-boot,com.example.springboot.mapper,CdrMapperImpl,4,67,2,2,2,19,2,3,0,3
spring-boot,com.example.springboot.service,CdrService,71,56,4,0,11,9,3,5,1,5
spring-boot,com.example.springboot.error,ErrorResponse,129,30,24,0,1,8,19,5,7,5
spring-boot,com.example.springboot.error,GlobalExceptionHandler,8,64,0,0,1,13,1,5,1,5
spring-boot,com.example.springboot.error,ErrorCode,0,44,0,0,0,6,0,4,0,4
spring-boot,com.example.springboot,Application,5,3,0,0,2,1,1,1,1,1
